Symbol,Exchange,Date,Time,CurrentVolume,LastPrice,NBB,NBO,ImbSide,ImbalanceSize, Notional Imbalance ,ImbalanceSource,ImbalanceType,ExchangeDate,ExchangeTime,MatchedSize,CurrentReferencePrice,NearIndicativePrice,FarIndicativePrice,Matched to Unmatched,Close,% move from Snashot to Close
BAC,UNEX,20191220,55:00.3,44403435,34.985,34.98,34.99,B,7347764," $ 257,061,523.54 ",NYSE,I,20191220,55:00.2,39401311,34.985,35.41,36.06,0.1864852669,34.96,-0.07%
BAC,UNEX,20190920,49:59.6,64961229,29.685,29.68,29.69,B,1273430," $ 37,801,769.55 ",NYSE,C,20190920,50:00.0,43561452,29.685,0,0,0.02923295578,29.59,-0.32%
BAC,UNEX,20190827,49:59.9,42625008,26.53,26.52,26.53,B,251466," $ 6,671,392.98 ",NYSE,C,20190827,50:00.0,3621411,26.525,0,0,0.06943868012,26.47,-0.23%
BAC,UNEX,20190827,55:00.6,43818892,26.48,26.48,26.47,B,127750," $ 3,382,820.00 ",NYSE,I,20190827,55:00.2,4121399,26.48,26.52,26.76,0.0309967562,26.47,-0.04%
T,UNEX,20200619,49:59.9,35220436,30.1525,30.15,30.16,B,2233379," $ 67,341,960.30 ",NYSE,C,20200619,50:00.0,17546828,30.15,0,0,0.1272810676,30.31,0.52%
T,UNEX,20200619,54:59.9,36905686,30.265,30.26,30.27,B,5167543," $ 156,395,688.90 ",NYSE,I,20200619,55:00.1,18717828,30.265,31.17,30.71,0.2760759956,30.31,0.15%
T,UNEX,20200529,55:00.3,27552093,30.815,30.81,30.82,B,105478," $ 3,250,304.57 ",NYSE,I,20200529,55:00.6,7576619,30.81,30.86,0,0.01392151301,30.86,0.15%
T,UNEX,20191220,49:59.7,24745852,39.105,39.1,39.11,B,1457562," $ 56,997,962.01 ",NYSE,C,20191220,50:00.0,8027607,39.1,0,0,0.1815686792,39.15,0.12%
T,UNEX,20191220,54:59.8,25772311,39.08,39.07,39.08,B,1965477," $ 76,810,841.16 ",NYSE,I,20191220,55:00.1,9868677,39.075,39.69,39.64,0.1991631705,39.15,0.18%
T,UNEX,20191126,49:59.7,24121111,37.245,37.24,37.25,B,3646990," $ 135,832,142.55 ",NYSE,C,20191126,50:00.0,12656041,37.24,0,0,0.2881619932,37.4,0.42%
T,UNEX,20191126,54:59.7,25182166,37.38,37.38,37.39,B,802532," $ 29,998,646.16 ",NYSE,I,20191126,55:00.2,16532863,37.38,37.5,38.03,0.04854162283,37.4,0.05%
T,UNEX,20190920,49:59.6,33583355,37.745,37.74,37.75,B,10606908," $ 400,357,742.46 ",NYSE,C,20190920,50:00.0,15780448,37.75,0,0,0.6721550618,37.91,0.44%
T,UNEX,20190920,55:00.3,37386286,37.87,37.87,37.88,B,7317212," $ 277,102,818.44 ",NYSE,I,20190920,55:00.2,21171202,37.87,38.22,0,0.3456209997,37.91,0.11%
T,UNEX,20190827,49:59.9,24227097,34.805,34.8,34.81,B,792143," $ 27,570,537.12 ",NYSE,C,20190827,50:00.0,2075440,34.805,0,0,0.3816747292,34.72,-0.24%
T,UNEX,20190827,55:00.6,25073350,34.82,34.82,34.82,B,239262," $ 8,331,102.84 ",NYSE,I,20190827,55:00.2,2787886,34.82,34.87,35.1,0.08582201711,34.72,-0.29%
PFE,UNEX,20200626,55:00.3,24458370,32,32,32,B,372816," $ 11,930,112.00 ",NYSE,I,20200626,55:00.3,10244128,31.995,32.03,0,0.03639314151,32.04,0.12%
PFE,UNEX,20200619,49:59.9,20897458,33.33,33.33,33.34,B,1641784," $ 54,720,660.72 ",NYSE,C,20200619,50:00.0,11698389,33.33,0,0,0.1403427429,33.42,0.27%
PFE,UNEX,20190920,49:59.6,26051477,36.515,36.51,36.52,B,1043004," $ 38,085,291.06 ",NYSE,C,20190920,50:00.0,6703152,36.515,0,0,0.1555990376,36.69,0.48%
PFE,UNEX,20190920,55:00.8,27275488,36.57,36.56,36.57,B,1789887," $ 65,456,167.59 ",NYSE,I,20190920,55:00.3,7465330,36.56,37.16,37.06,0.2397599302,36.69,0.33%
DIS,UNEX,20200626,55:00.3,11351455,109.02,108.99,109.02,B,69683," $ 7,596,840.66 ",NYSE,I,20200626,55:00.3,1920781,109,109.55,0,0.03627847214,109.1,0.07%
DIS,UNEX,20200529,50:00.2,14455902,116.3592,116.34,116.37,B,464137," $ 54,006,610.01 ",NYSE,C,20200529,50:00.0,570755,116.38,0,0,0.8131983075,117.3,0.81%
DIS,UNEX,20200529,55:00.3,14874396,116.9,116.9,116.93,B,430632," $ 50,340,880.80 ",NYSE,I,20200529,55:00.6,777209,116.9,124.6,0,0.5540749013,117.3,0.34%
DIS,UNEX,20191220,49:59.7,7156526,146.835,146.83,146.84,B,104384," $ 15,327,224.64 ",NYSE,C,20191220,50:00.0,1651857,146.84,0,0,0.06319191068,146.88,0.03%
DIS,UNEX,20191220,55:00.3,7372593,146.94,146.93,146.94,B,75353," $ 11,072,369.82 ",NYSE,I,20191220,55:00.3,1961943,146.93,147.22,147.57,0.03840733395,146.88,-0.04%
MRK,UNEX,20200619,49:59.9,8816477,76.975,76.95,77,B,1481430," $ 114,033,074.25 ",NYSE,C,20200619,50:00.0,2924452,77.01,0,0,0.5065667004,77.9,1.20%
MRK,UNEX,20200619,54:59.9,9495529,77.53,77.52,77.53,B,1313350," $ 101,824,025.50 ",NYSE,I,20200619,55:00.1,3542864,77.54,82.21,0,0.3707029115,77.9,0.48%
MRK,UNEX,20200529,49:59.7,6779486,80.29,80.29,80.32,B,540525," $ 43,398,752.25 ",NYSE,C,20200529,50:00.0,2060268,80.33,0,0,0.2623566449,80.72,0.54%
MRK,UNEX,20200529,55:00.3,7106552,80.73,80.73,80.74,B,324387," $ 26,187,762.51 ",NYSE,I,20200529,55:00.6,2643897,80.73,82,83.4,0.1226927524,80.72,-0.01%
